year,month,lgdp,ffr,lemp,lsp,epu
1951,2,2.8467565,1.75,10.996434,3.0910838,
1951,3,2.8514173,1.75,11.008761,3.0740457,
1951,4,2.8529642,1.75,11.000248,3.08729,
1951,5,2.8498681,1.75,11.005228,3.0878556,
1951,6,2.8451943,1.75,10.995747,3.070199,
1951,7,2.8294711,1.75,11.004697,3.0879424,
1951,8,2.8199193,1.75,11.002,3.130795,
1951,9,2.8262954,1.75,10.997305,3.1563284,
1951,10,2.8247068,1.75,11.002267,3.1508276,
1951,11,2.8326366,1.75,10.999363,3.1228054,
1951,12,2.8389382,1.75,11.010349,3.1533513,
1952,1,2.8498623,1.75,11.009737,3.1859219,
1952,2,2.8560562,1.75,11.00977,3.1676373,
1952,3,2.8591392,1.75,11.000566,3.1705256,
1952,4,2.8498623,1.75,11.000582,3.1676095,
1952,5,2.8405044,1.75,11.005344,3.1669946,
1952,6,2.831058,1.75,11.005743,3.1939507,
1952,7,2.8151033,1.75,11.001616,3.2223082,
1952,8,2.8774328,1.75,10.998593,3.2263374,
1952,9,2.9130461,1.75,11.010746,3.2103136,
1952,10,2.9231992,1.75,11.004297,3.1889188,
1952,11,2.9431961,1.75,11.014489,3.2203007,
1952,12,2.9488397,1.75,11.017875,3.2599218,
1953,1,2.9516499,1.88,11.028418,3.2649958,
1953,2,2.9572408,2,11.033017,3.2526975,
1953,3,2.9655771,2,11.035051,3.2577994,
1953,4,2.9697168,2,11.025882,3.2072272,
1953,5,2.9752131,2,11.018941,3.2124937,
1953,6,2.9710913,2,11.026076,3.1760442,
1953,7,2.9833965,2,11.025116,3.1902616,
1953,8,2.9779451,2,11.021102,3.1941342,
1953,9,2.9572408,2,11.017087,3.1471241,
1953,10,2.9488397,2,11.016873,3.1767037,
1953,11,2.924639,2,11.014325,3.198333,
1953,12,2.899838,2,11.001717,3.2120342,
1954,1,2.8924253,2,11.0025,3.2371283,
1954,2,2.8953979,1.79,11.013089,3.259007,
1954,3,2.8894434,1.75,11.005195,3.2798481,
1954,4,2.8834534,1.62,11.005178,3.3188159,
1954,5,2.8894434,1.5,11.000566,3.3580985,
1954,6,2.8924253,1.5,10.998627,3.365947,
1954,7,2.8939099,.80000001,10.996132,3.4054108,
1954,8,2.8924253,1.22,10.999647,3.4250767,
1954,9,2.8939099,1.0599999,11.006789,3.4484596,
1954,10,2.905731,.85000002,11.00659,3.4712415,
1954,11,2.921752,.82999998,11.008032,3.5098126,
1954,12,2.9346757,1.28,11.004031,3.5544126,
1955,1,2.9572408,1.39,11.014572,3.5722387,
1955,2,2.9697168,1.29,11.014144,3.6052547,
1955,3,2.9928632,1.35,11.018039,3.5973122,
1955,4,3.004905,1.4299999,11.027037,3.6312504,
1955,5,3.0207322,1.4299999,11.028969,3.6271307,
1955,6,3.022043,1.64,11.031351,3.6834443,
1955,7,3.0298536,1.6799999,11.04313,3.7540116,
1955,8,3.0285575,1.96,11.047663,3.7477531,
1955,9,3.0350299,2.1800001,11.050097,3.7919195,
1955,10,3.0516634,2.24,11.050747,3.7404211,
1955,11,3.0541992,2.3499999,11.054961,3.8054841,
1955,12,3.0579884,2.48,11.061688,3.8147776,
1956,1,3.0642736,2.45,11.062772,3.7877009,
1956,2,3.0554671,2.5,11.059078,3.793915,
1956,3,3.0554671,2.5,11.057393,3.8604391,
1956,4,3.0630217,2.6199999,11.060589,3.8722818,
1956,5,3.0541992,2.75,11.064465,3.8402536,
1956,6,3.0452983,2.71,11.063822,3.8344629,
